route R-1: GINGER-FALLS => GLACIER-CROSSING | distance 71 | toll 5
route R-2: NUTMEG-VALLEY => STARLIT-MEADOW | distance 47 | toll 5
route R-3: FROST-CROSSING => GINGER-FALLS | distance 57 | toll 8
route R-4: EGGNOG-JUNCTION => SLEIGH-VALLEY | distance 37 | toll 1
route R-5: NUTMEG-VALLEY => FROST-CROSSING | distance 95 | toll 8
route R-6: NUTMEG-VALLEY => TOFFEE-VALLEY | distance 60 | toll 1
route R-7: SNOWY-RIDGE => SLEIGH-CROSSING | distance 9 | toll 5
route R-8: FROST-YARD => TOFFEE-VALLEY | distance 48 | toll 9
route R-9: SLEIGH-PEAK => GARLAND-VALLEY | distance 7 | toll 1
route R-10: TOFFEE-JUNCTION => FROST-CROSSING | distance 17 | toll 7
route R-11: NUTMEG-VALLEY => SLEIGH-YARD | distance 99 | toll 5
route R-12: SANTAS-WORKSHOP => SLEIGH-CROSSING | distance 91 | toll 5
route R-13: STARLIT-VALLEY => TOFFEE-JUNCTION | distance 24 | toll 2
route R-14: PINE-YARD => TOFFEE-CROSSING | distance 97 | toll 2
route R-15: CAROL-CROSSING => TOFFEE-CROSSING | distance 69 | toll 4
route R-16: EGGNOG-JUNCTION => STARLIT-RIDGE | distance 69 | toll 6
route R-17: GLACIER-CROSSING => STARLIT-MEADOW | distance 60 | toll 9
route R-18: SLEIGH-VALLEY => JINGLE-CROSSING | distance 95 | toll 6
route R-19: JINGLE-CROSSING => NORTH-POLE | distance 68 | toll 4
route R-20: TOFFEE-JUNCTION => SLEIGH-PEAK | distance 78 | toll 8
route R-21: FROST-CROSSING => GLACIER-JUNCTION | distance 54 | toll 8
route R-22: SNOWY-RIDGE => PINE-JUNCTION | distance 93 | toll 3
route R-23: STARLIT-VALLEY => SLEIGH-VALLEY | distance 20 | toll 1
route R-24: SUGAR-HOLLOW => NORTH-POLE | distance 80 | toll 5
route R-25: NORTH-POLE => SUGAR-HOLLOW | distance 37 | toll 9
route R-26: GLACIER-JUNCTION => MISTLE-JUNCTION | distance 23 | toll 8
route R-27: PINE-YARD => STARLIT-MEADOW | distance 32 | toll 4
route R-28: GARLAND-VALLEY => EGGNOG-JUNCTION | distance 30 | toll 4
route R-29: PINE-VALLEY => WINTER-RIDGE | distance 22 | toll 2
route R-30: STARLIT-RIDGE => PINE-JUNCTION | distance 10 | toll 2
route R-31: SLEIGH-YARD => JINGLE-CROSSING | distance 25 | toll 4
route R-32: TINSEL-RIDGE => JINGLE-CROSSING | distance 68 | toll 6
route R-33: PINE-YARD => SLEIGH-PEAK | distance 67 | toll 3
route R-34: WINTER-RIDGE => NUTMEG-VALLEY | distance 59 | toll 5
route R-35: TOFFEE-CROSSING => NUTMEG-VALLEY | distance 27 | toll 3
route R-36: SANTAS-WORKSHOP => TOFFEE-JUNCTION | distance 76 | toll 9
route R-37: SANTAS-WORKSHOP => MISTLE-JUNCTION | distance 81 | toll 9
route R-38: STARLIT-RIDGE => GARLAND-VALLEY | distance 38 | toll 3
route R-39: CAROL-CROSSING => GARLAND-VALLEY | distance 18 | toll 5
route R-40: SNOWY-RIDGE => STARLIT-MEADOW | distance 56 | toll 4
route R-41: SLEIGH-YARD => SNOWY-RIDGE | distance 69 | toll 2
route R-42: GLACIER-JUNCTION => SLEIGH-CROSSING | distance 70 | toll 3
route R-43: SLEIGH-PEAK => GLACIER-CROSSING | distance 61 | toll 7
route R-44: TOFFEE-JUNCTION => WINTER-RIDGE | distance 60 | toll 8
route R-45: SLEIGH-CROSSING => PINE-JUNCTION | distance 40 | toll 6
route R-46: PINE-JUNCTION => STARLIT-VALLEY | distance 63 | toll 6
route R-47: SUGAR-HOLLOW => PINE-VALLEY | distance 77 | toll 9
route R-48: FROST-YARD => GLACIER-CROSSING | distance 60 | toll 6
route R-49: SLEIGH-PEAK => PINE-YARD | distance 38 | toll 4
route R-50: JINGLE-CROSSING => TOFFEE-JUNCTION | distance 12 | toll 1
route R-51: FROST-CROSSING => PINE-JUNCTION | distance 49 | toll 7
route R-52: GLACIER-CROSSING => SANTAS-WORKSHOP | distance 96 | toll 7
route R-53: GINGER-FALLS => GLACIER-JUNCTION | distance 85 | toll 3
route R-54: TOFFEE-VALLEY => SLEIGH-PEAK | distance 44 | toll 1
route R-55: PINE-VALLEY => FROST-CROSSING | distance 23 | toll 4
route R-56: NUTMEG-VALLEY => SLEIGH-PEAK | distance 70 | toll 8
