bike_id,model,acquired_date
1001,Metro One,2023-04-10
1002,Metro One,2023-04-16
1003,Metro One,2023-04-10
1004,Volt-E,2023-04-12
1005,Metro LS,2023-04-10
1006,Metro LS,2023-04-14
1007,Metro LS,2023-04-11
1008,Volt-E,2023-04-10
1009,Metro LS,2023-04-11
1010,Metro One,2023-04-15
1011,Metro One,2023-04-16
1012,Metro One,2023-04-11
1013,Metro LS,2023-04-13
1014,Metro One,2023-04-10
1015,Volt-E,2023-04-15
1016,Metro One,2023-04-12
1017,Volt-E,2023-04-12
1018,Metro One,2023-04-10
1019,Metro One,2023-04-14
1020,Metro One,2023-04-15
1021,Metro LS,2023-04-16
1022,Metro LS,2023-04-14
1023,Volt-E,2023-04-11
1024,Metro One,2023-04-16
1025,Metro LS,2023-04-15
1026,Volt-E,2023-04-16
1027,Volt-E,2023-04-16
1028,Metro LS,2023-04-15
1029,Metro One,2023-04-15
1030,Volt-E,2023-04-14
1031,Metro One,2023-04-13
1032,Metro LS,2023-04-14
1033,Metro LS,2023-04-13
1034,Metro One,2023-04-15
1035,Metro LS,2023-04-13
1036,Metro One,2023-04-15
1037,Metro LS,2023-04-11
1038,Metro One,2023-04-15
1039,Metro One,2023-04-13
1040,Metro LS,2023-04-15
1041,Metro LS,2023-04-12
1042,Metro One,2023-04-14
1043,Volt-E,2023-04-10
1044,Metro LS,2023-04-13
1045,Metro One,2023-04-10
1046,Volt-E,2023-04-11
1047,Metro One,2023-04-10
1048,Volt-E,2023-04-13
1049,Volt-E,2023-04-15
1050,Metro One,2023-04-12
1051,Metro One,2023-04-12
1052,Metro One,2023-04-11
1053,Metro One,2023-04-12
1054,Volt-E,2023-04-10
1055,Metro One,2023-04-10
1056,Metro LS,2023-04-15
1057,Metro One,2023-04-12
1058,Metro One,2023-04-16
1059,Volt-E,2023-04-14
1060,Volt-E,2023-04-13
1061,Metro LS,2023-09-07
1062,Metro LS,2023-09-06
1063,Metro One,2023-09-10
1064,Metro One,2023-09-06
1065,Metro One,2023-09-06
1066,Metro LS,2023-09-11
1067,Volt-E,2023-09-11
1068,Metro One,2023-09-05
1069,Metro One,2023-09-07
1070,Volt-E,2023-09-10
1071,Metro One,2023-09-11
1072,Volt-E,2023-09-06
1073,Metro LS,2023-09-11
1074,Metro One,2023-09-08
1075,Metro One,2023-09-11
1076,Volt-E,2023-09-08
1077,Volt-E,2023-09-09
1078,Metro One,2023-09-05
1079,Volt-E,2023-09-05
1080,Metro One,2023-09-09
1081,Metro One,2023-09-10
1082,Metro One,2023-09-10
1083,Metro One,2023-09-07
1084,Metro One,2023-09-06
1085,Metro One,2023-09-07
1086,Metro One,2023-09-06
1087,Metro One,2023-09-10
1088,Metro One,2023-09-07
1089,Metro One,2023-09-08
1090,Metro One,2023-09-10
1091,Metro One,2023-09-08
1092,Metro One,2023-09-09
1093,Metro One,2023-09-08
1094,Metro One,2023-09-05
1095,Volt-E,2023-09-10
1096,Metro One,2023-09-06
1097,Metro LS,2023-09-05
1098,Volt-E,2023-09-07
1099,Metro One,2023-09-05
1100,Metro One,2023-09-11
1101,Volt-E,2024-03-24
1102,Metro LS,2024-03-21
1103,Volt-E,2024-03-18
1104,Metro LS,2024-03-21
1105,Metro One,2024-03-23
1106,Metro One,2024-03-20
1107,Metro One,2024-03-20
1108,Metro LS,2024-03-24
1109,Metro One,2024-03-19
