maintenance_id,bike_id,maintenance_date,maintenance_type,cost
5001,1164,2025-01-02,tune_up,71.49
5002,1011,2025-01-03,flat_tire,12.64
5003,1114,2025-01-06,wheel_true,22.28
5004,1085,2025-01-07,tune_up,63.29
5005,1079,2025-01-09,chain_replacement,46.89
5006,1077,2025-01-11,chain_replacement,49.73
5007,1160,2025-01-11,brake_adjustment,18.80
5008,1192,2025-01-12,chain_replacement,32.19
5009,1057,2025-01-14,tune_up,60.09
5010,1184,2025-01-15,chain_replacement,37.62
5011,1015,2025-01-17,tune_up,42.13
5012,1119,2025-01-20,tune_up,56.04
5013,1197,2025-01-21,chain_replacement,50.86
5014,1132,2025-01-22,tune_up,47.35
5015,1197,2025-01-22,brake_adjustment,23.91
5016,1158,2025-01-23,tune_up,73.76
5017,1103,2025-01-24,tune_up,47.02
5018,1141,2025-01-26,brake_adjustment,22.75
5019,1084,2025-01-27,tune_up,42.66
5020,1027,2025-01-28,wheel_true,26.82
5021,1140,2025-01-28,battery_service,112.45
5022,1010,2025-01-30,tune_up,55.92
5023,1019,2025-02-01,wheel_true,36.65
5024,1088,2025-02-01,chain_replacement,35.62
5025,1107,2025-02-04,wheel_true,26.24
5026,1150,2025-02-04,chain_replacement,28.97
5027,1177,2025-02-05,chain_replacement,42.48
5028,1136,2025-02-13,flat_tire,22.12
5029,1166,2025-02-15,flat_tire,23.77
5030,1004,2025-02-16,chain_replacement,52.03
5031,1233,2025-02-16,brake_adjustment,22.83
5032,1215,2025-02-19,wheel_true,21.36
5033,1162,2025-02-20,wheel_true,31.61
5034,1247,2025-02-22,flat_tire,23.80
5035,1201,2025-02-23,chain_replacement,42.18
5036,1174,2025-02-25,tune_up,55.98
5037,1219,2025-02-25,flat_tire,15.58
5038,1015,2025-02-26,battery_service,105.44
5039,1215,2025-02-26,chain_replacement,48.27
5040,1001,2025-02-27,flat_tire,20.15
5041,1171,2025-03-01,flat_tire,14.37
5042,1231,2025-03-01,brake_adjustment,25.31
5043,1192,2025-03-02,tune_up,49.32
5044,1115,2025-03-04,wheel_true,32.16
5045,1011,2025-03-05,brake_adjustment,20.46
5046,1020,2025-03-05,flat_tire,12.14
5047,1237,2025-03-07,brake_adjustment,19.06
5048,1077,2025-03-08,brake_adjustment,17.51
5049,1094,2025-03-13,wheel_true,34.78
5050,1243,2025-03-13,brake_adjustment,20.78
5051,1119,2025-03-15,battery_service,67.13
5052,1060,2025-03-17,chain_replacement,52.39
5053,1152,2025-03-18,flat_tire,18.14
5054,1148,2025-03-20,battery_service,86.84
5055,1164,2025-03-20,brake_adjustment,24.04
5056,1098,2025-03-21,flat_tire,21.34
5057,1158,2025-03-21,brake_adjustment,16.81
5058,1244,2025-03-22,chain_replacement,45.96
5059,1133,2025-03-23,chain_replacement,37.31
5060,1143,2025-03-23,brake_adjustment,16.93
5061,1217,2025-03-23,flat_tire,16.13
5062,1135,2025-03-24,brake_adjustment,16.89
5063,1016,2025-03-25,wheel_true,22.57
5064,1044,2025-03-25,chain_replacement,42.73
5065,1011,2025-03-28,tune_up,71.78
5066,1002,2025-03-29,tune_up,74.11
5067,1026,2025-03-29,tune_up,41.52
5068,1057,2025-03-29,brake_adjustment,16.17
5069,1134,2025-03-30,chain_replacement,38.25
5070,1242,2025-03-30,wheel_true,37.43
5071,1017,2025-04-03,battery_service,119.89
5072,1184,2025-04-04,chain_replacement,35.08
5073,1047,2025-04-05,wheel_true,34.19
5074,1074,2025-04-05,chain_replacement,47.61
5075,1244,2025-04-05,wheel_true,24.24
5076,1027,2025-04-06,tune_up,71.84
5077,1138,2025-04-06,tune_up,45.13
5078,1041,2025-04-07,brake_adjustment,20.99
5079,1157,2025-04-08,wheel_true,37.88
5080,1066,2025-04-10,flat_tire,24.86
5081,1122,2025-04-10,flat_tire,18.89
5082,1201,2025-04-10,tune_up,52.62
5083,1076,2025-04-12,tune_up,70.46
5084,1231,2025-04-12,chain_replacement,47.95
5085,1155,2025-04-13,tune_up,67.95
5086,1250,2025-04-14,wheel_true,37.00
5087,1009,2025-04-17,tune_up,55.49
5088,1076,2025-04-18,wheel_true,36.87
5089,1025,2025-04-20,wheel_true,27.80
5090,1049,2025-04-21,tune_up,46.70
5091,1209,2025-04-21,chain_replacement,42.47
5092,1154,2025-04-22,wheel_true,33.11
5093,1172,2025-04-22,wheel_true,23.89
