trip_id,started_at,ended_at,start_station_name,end_station_name,bike_id,user_type,user_birth_year,price
113161,01/01/2026 06:06,01/01/2026 06:11,Summit Ridge,Observatory Hill,1204,Member,1991,0.00
113162,01/01/2026 06:26,01/01/2026 06:33,Ferry Meadow,Fountain Court,1155,casual,1986,2.20
113163,01/01/2026 09:01,01/01/2026 09:15,Tannery Yard,Hillcrest Point,1208,casual,1977,3.10
113164,01/01/2026 09:08,01/01/2026 09:47,Hillcrest Point,Opera House,1099,casual,1971,6.85
113165,01/01/2026 10:36,01/01/2026 10:41,Gasometer Park,Cobbler's Row,1225,member,2002,0.00
113166,01/01/2026 12:08,01/01/2026 12:34,Old Town Square,Old Town Square,1265,casual,1983,4.90
113167,01/01/2026 13:12,01/01/2026 13:25,Tramline Depot,Central Station ,1233,Member,1982,0.00
113168,01/01/2026 13:36,01/01/2026 13:45,Summit Ridge,SUMMIT RIDGE,1082,casual,1972,2.35
113169,01/01/2026 13:51,01/01/2026 13:57,Riverside Walk,Kayak Launch,1299,member,1964,0.00
113170,01/01/2026 14:29,01/01/2026 14:36,Northgate Transit Hub,Aurora & 22nd,1152,member,1985,0.00
113171,01/01/2026 14:42,01/01/2026 14:53,Athletics Center,Opera House,1315,Member,1990,0.00
113172,01/01/2026 14:52,01/01/2026 15:02,Harbor East,Old Town Square,1271,casual,1990,2.65
113173,01/01/2026 16:34,01/01/2026 16:44,Tramline Depot,Student Commons,1272,casual,1967,2.50
113174,01/01/2026 17:20,01/01/2026 17:42,Campus North,Old Town Square,1185,casual,2002,4.30
113175,01/01/2026 17:25,01/01/2026 18:23,Science Quad,Science Quad,1162,casual,1990,9.85
113176,01/01/2026 17:26,01/01/2026 17:41,Lighthouse Point,Kayak Launch,1023,member,1991,0.00
113177,01/01/2026 17:42,01/01/2026 18:06,Library Mall,City Hall,1053,member,1995,0.00
113178,01/01/2026 17:46,01/01/2026 18:13,Harbor East,Summit Ridge,1153,casual,1985,5.05
113179,01/01/2026 18:12,01/01/2026 18:39,Student Commons,Dockside Market,1077,casual,1994,5.05
113180,01/01/2026 18:19,01/01/2026 18:35,Central Station,Kayak Launch,1157,casual,1999,3.55
